sa2_code,sa2_gini
318021490,0.496
318021491,0.400
319011492,0.442
319011493,0.503
319011494,0.458
319011495,0.494
319011496,0.453
319011497,0.466
319011498,0.510
319011499,0.520
319011500,0.449
319011501,0.417
319011502,0.435
319021503,0.523
319021504,0.570
319021505,0.460
319021506,0.487
319021507,0.524
319021508,0.537
319021509,0.503
319021510,na
319031511,0.545
319031512,0.438
319031513,0.447
319031514,0.506
319031515,0.564
319041516,0.474
319041517,0.518
319041518,0.495
319041519,0.470
319041520,0.456
319041521,0.479
319051522,0.489
319051523,0.443
319051524,0.437
319051525,0.508
319051526,0.452
401011001,0.545
401011002,0.585
401021003,0.495
401021004,0.512
401021005,0.496
401021006,0.457
401021007,0.427
401021008,0.452
401021009,0.391
401021010,0.487
401031011,0.537
401031012,0.560
401031013,0.556
401041014,0.441
401041015,0.422
401041016,0.453
401051017,0.518
401051018,0.454
401051019,0.526
401061020,0.454
401061021,0.458
401061022,0.591
401071023,0.518
401071024,0.527
402011025,0.400
402011026,0.414
402011027,0.384
402021028,0.357
402021029,0.361
402021030,0.389
402021031,0.373
402021032,0.366
402021033,0.465
402021034,0.370
402021035,0.448
402031036,0.402
402031037,0.422
402031038,0.408
402041039,na
402041040,0.389
402041041,0.395
402041042,na
402041043,0.366
402041044,0.351
402041046,0.377
402041047,0.390
402041048,0.355
402041171,0.414
402041172,0.386
402051049,0.417
402051050,0.384
402051051,0.439
402051052,0.404
402051053,0.385
402051054,0.397
402051055,0.410
403011056,0.489
403011057,0.490
403021058,0.401
403021059,0.413
403021060,0.435
403021061,0.418
403021062,0.427
403021063,0.362
403021064,0.409
403031065,0.499
403031066,0.476
403031067,0.448
403031068,0.445
403031069,0.531
403031070,0.457
403041071,0.404
403041072,0.405
403041073,0.379
403041074,0.411
403041075,0.485
403041076,0.425
403041077,0.439
403041078,0.390
403041079,0.375
403041080,0.397
403041082,na
403041083,0.471
403041084,0.374
403041085,0.376
403041086,0.369
403041087,0.393
403041088,0.460
403041089,0.380
404011090,0.394
404011091,0.422
404011092,0.470
404011093,0.411
404011094,0.372
404011095,0.438
404011096,0.476
404011097,0.401
404021098,na
404021099,0.403
404021100,0.408
404021101,0.385
404021102,0.414
404031104,na
404031105,0.456
404031106,0.455
404031107,0.433
404031108,0.412
404031109,0.487
405011110,0.449
405011111,0.425
405011112,0.422
405011113,0.517
405011114,0.413
405011115,0.459
405021116,0.477
405021117,0.503
405021118,0.493
405021119,0.469
405031120,0.490
405031121,0.483
405031122,0.431
405031123,0.480
405041124,0.452
405041125,0.481
405041126,0.478
405041127,0.537
405041128,0.548
406011129,0.420
406011130,0.497
406011131,0.514
406011132,0.511
406011133,0.448
406011134,0.487
406011135,na
406011136,0.419
406021138,0.504
406021139,0.397
406021140,0.454
406021141,0.474
406021142,0.417
406021143,0.385
407011144,0.502
407011145,0.489
407011146,0.437
407011147,0.461
407011148,0.494
407011149,0.498
407021150,0.465
407021151,0.508
407021152,0.460
407021154,0.463
407021155,0.513
407021156,0.479
407021157,0.516
407021158,0.502
407021173,0.415
407021174,0.408
407031159,0.438
407031160,0.451
407031161,0.529
407031162,0.449
407031163,0.512
407031164,0.472
407031165,0.411
407031166,0.474
407031167,0.456
407031168,0.457
407031169,0.496
407031170,0.454
501011001,0.516
501011002,0.478
501011003,0.517
501011004,0.484
501021005,0.461
501021007,0.480
501021008,0.429
501021009,0.484
501021010,0.569
501021011,na
501021012,0.441
501021014,0.472
501021015,0.440
501021016,0.476
501021251,0.447
501021252,0.514
501021253,0.499
501021254,0.439
501031017,0.529
501031018,0.519
501031019,0.444
501031020,0.535
502011021,0.504
502011022,0.514
502011023,0.480
502011024,0.522
502011025,0.490
502011026,0.501
502011027,0.456
502011028,0.491
